"X.x","tJan","tFeb","tMar","tApr","tMay","tJun","tJul","tAug","tSep","tOct","tNov","tDec","rJan","rFeb","rMar","rApr","rMay","run","rJul","rAug","rSep","rOct","rNov","rDec","lon","lat","X.y","soilmask","BDRICM.units_of_measure","BDRICM.BDRICM_M","BLDFIE.units_of_measure","BLDFIE.M.sl1","BLDFIE.M.sl2","BLDFIE.M.sl3","BLDFIE.M.sl4","BLDFIE.M.sl5","BLDFIE.M.sl6","BLDFIE.M.sl7","CECSOL.units_of_measure","CECSOL.M.sl1","CECSOL.M.sl2","CECSOL.M.sl3","CECSOL.M.sl4","CECSOL.M.sl5","CECSOL.M.sl6","CECSOL.M.sl7","CLYPPT.units_of_measure","CLYPPT.M.sl1","CLYPPT.M.sl2","CLYPPT.M.sl3","CLYPPT.M.sl4","CLYPPT.M.sl5","CLYPPT.M.sl6","CLYPPT.M.sl7","CRFVOL.units_of_measure","CRFVOL.M.sl1","CRFVOL.M.sl2","CRFVOL.M.sl3","CRFVOL.M.sl4","CRFVOL.M.sl5","CRFVOL.M.sl6","CRFVOL.M.sl7","ORCDRC.units_of_measure","ORCDRC.M.sl1","ORCDRC.M.sl2","ORCDRC.M.sl3","ORCDRC.M.sl4","ORCDRC.M.sl5","ORCDRC.M.sl6","ORCDRC.M.sl7","PHIHOX.units_of_measure","PHIHOX.M.sl1","PHIHOX.M.sl2","PHIHOX.M.sl3","PHIHOX.M.sl4","PHIHOX.M.sl5","PHIHOX.M.sl6","PHIHOX.M.sl7","SLTPPT.units_of_measure","SLTPPT.M.sl1","SLTPPT.M.sl2","SLTPPT.M.sl3","SLTPPT.M.sl4","SLTPPT.M.sl5","SLTPPT.M.sl6","SLTPPT.M.sl7","SNDPPT.units_of_measure","SNDPPT.M.sl1","SNDPPT.M.sl2","SNDPPT.M.sl3","SNDPPT.M.sl4","SNDPPT.M.sl5","SNDPPT.M.sl6","SNDPPT.M.sl7","depthCodesMeters.sd1","depthCodesMeters.sd2","depthCodesMeters.sd3","depthCodesMeters.sd4","depthCodesMeters.sd5","depthCodesMeters.sd6","depthCodesMeters.sl1","depthCodesMeters.sl2","depthCodesMeters.sl3","depthCodesMeters.sl4","depthCodesMeters.sl5","depthCodesMeters.sl6","depthCodesMeters.sl7","depthCodesMeters.xd1","depthCodesMeters.xd2","publication_date"
"X266",266,268,270,268,259,248,243,242,247,253,258,263,314,232,194,136,105,67,65,54,55,96,163,301,-149.8363421,-17.5331897,1,"soil","cm",200,"kg / cubic-m",1285,1232,1290,1347,1348,1397,1403,"cmol / kg",27,27,25,23,22,22,22,"percent",33,33,35,37,37,37,36,"percent",3,4,4,5,5,4,4,"g / kg",49,53,31,20,16,15,16,"index*10",53,53,53,55,55,55,55,"percent",31,30,31,31,30,30,30,"percent",36,37,35,33,32,34,33,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X269",269,270,273,270,262,251,246,246,249,255,261,264,310,228,190,131,104,66,63,52,54,94,160,296,-149.8723,-17.49332,2,"soil","cm",200,"kg / cubic-m",1060,1044,1123,1196,1219,1234,1243,"cmol / kg",33,32,31,29,28,28,28,"percent",34,33,35,36,36,36,36,"percent",7,7,8,9,9,10,11,"g / kg",71,46,49,44,36,34,32,"index*10",56,56,57,57,58,58,59,"percent",33,32,33,33,32,33,32,"percent",34,34,32,32,31,31,31,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X237",237,237,235,233,231,228,223,221,225,231,232,237,347,347,396,264,180,140,167,158,153,190,196,267,160.121562,-9.606699,15,"soil","cm",153,"kg / cubic-m",1156,1149,1169,1270,1299,1337,1379,"cmol / kg",23,25,21,20,17,16,16,"percent",41,40,39,44,45,43,43,"percent",17,17,18,19,20,21,23,"g / kg",24,49,28,13,1,0,0,"index*10",49,49,50,53,54,54,55,"percent",29,29,29,25,25,27,28,"percent",31,32,32,31,30,30,29,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X265",265,266,268,266,266,265,264,263,264,264,265,266,337,258,324,449,481,437,471,453,419,439,403,392,158.258382,6.862068,21,"soil","cm",200,"kg / cubic-m",680,627,768,929,977,1004,1033,"cmol / kg",27,29,26,22,22,15,15,"percent",40,40,42,43,42,41,40,"percent",25,26,27,28,30,31,31,"g / kg",129,145,125,95,87,85,89,"index*10",56,55,55,56,57,57,58,"percent",28,28,27,27,28,29,28,"percent",32,32,30,31,31,31,31,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X267.2",267,268,270,268,268,267,266,265,266,267,266,268,327,253,317,444,475,430,461,439,407,431,398,390,158.269051,6.867367,22,"soil","cm",200,"kg / cubic-m",829,789,847,1008,1042,1062,1100,"cmol / kg",30,32,29,24,24,17,16,"percent",36,35,38,40,40,40,40,"percent",17,17,18,18,18,19,21,"g / kg",121,133,115,95,89,88,89,"index*10",56,55,55,56,57,57,57,"percent",31,31,30,28,29,30,29,"percent",33,34,32,31,31,31,31,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X272.3",272,273,274,279,280,277,274,275,274,275,278,274,287,206,197,227,309,390,421,376,307,333,273,305,134.47917,7.34194,24,"soil","cm",200,"kg / cubic-m",927,922,876,883,915,921,942,"cmol / kg",26,26,24,24,24,23,24,"percent",48,47,50,47,47,47,47,"percent",6,6,7,9,9,9,11,"g / kg",116,132,113,104,100,97,96,"index*10",53,53,53,54,55,55,56,"percent",30,30,30,31,31,31,32,"percent",22,23,20,22,22,22,21,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X263.1",263,262,264,265,265,264,261,261,262,263,264,264,235,171,234,308,360,312,368,360,323,360,294,306,151.8550873,7.441454,25,"soil","cm",200,"kg / cubic-m",1119,1065,1157,1290,1289,1300,1328,"cmol / kg",31,32,29,26,26,24,23,"percent",54,53,56,55,56,58,57,"percent",13,14,14,14,15,15,17,"g / kg",84,84,58,41,37,35,37,"index*10",54,53,55,55,56,57,57,"percent",27,27,27,29,29,28,28,"percent",19,20,17,16,15,14,15,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X269.3",269,270,274,277,279,275,273,273,273,275,276,273,295,189,175,209,297,370,419,380,302,330,260,296,134.566018,7.494871,26,"soil","cm",200,"kg / cubic-m",1148,1129,1191,1249,1268,1267,1285,"cmol / kg",24,24,20,19,19,18,18,"percent",43,44,47,45,45,45,45,"percent",3,4,5,6,7,8,9,"g / kg",35,95,55,51,47,46,47,"index*10",49,49,49,51,52,52,52,"percent",26,25,25,26,25,26,27,"percent",31,31,28,29,29,28,29,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X269.4",269,270,273,276,277,274,272,272,273,274,275,272,296,187,172,207,297,369,421,382,303,331,258,295,134.6000061,7.4999995,27,"soil","cm",200,"kg / cubic-m",1122,1108,1206,1230,1257,1242,1256,"cmol / kg",31,31,26,25,24,24,23,"percent",45,45,48,47,49,50,50,"percent",6,6,8,9,10,10,11,"g / kg",82,68,39,27,23,22,21,"index*10",54,53,53,54,54,55,55,"percent",32,32,32,34,32,32,32,"percent",23,23,20,19,19,18,18,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
"X250.2",250,249,252,260,264,268,266,264,265,263,263,257,110,76,87,107,87,129,233,287,329,284,177,122,145.7623238,15.2022782,28,"soil","cm",200,"kg / cubic-m",1247,1199,1295,1330,1333,1343,1373,"cmol / kg",34,34,32,30,30,29,29,"percent",48,48,49,52,53,52,52,"percent",11,11,12,14,13,14,14,"g / kg",55,53,36,29,23,24,25,"index*10",64,64,64,65,65,66,66,"percent",29,29,29,27,27,27,26,"percent",23,23,22,21,20,21,22,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,"10-03-2017"
