X.x,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,rJan,rFeb,rMar,rApr,rMay,run,rJul,rAug,rSep,rOct,rNov,rDec,lon,lat,X.y,soilmask,BDRICM.units_of_measure,BDRICM.BDRICM_M,BLDFIE.units_of_measure,BLDFIE.M.sl1,BLDFIE.M.sl2,BLDFIE.M.sl3,BLDFIE.M.sl4,BLDFIE.M.sl5,BLDFIE.M.sl6,BLDFIE.M.sl7,CECSOL.units_of_measure,CECSOL.M.sl1,CECSOL.M.sl2,CECSOL.M.sl3,CECSOL.M.sl4,CECSOL.M.sl5,CECSOL.M.sl6,CECSOL.M.sl7,CLYPPT.units_of_measure,CLYPPT.M.sl1,CLYPPT.M.sl2,CLYPPT.M.sl3,CLYPPT.M.sl4,CLYPPT.M.sl5,CLYPPT.M.sl6,CLYPPT.M.sl7,CRFVOL.units_of_measure,CRFVOL.M.sl1,CRFVOL.M.sl2,CRFVOL.M.sl3,CRFVOL.M.sl4,CRFVOL.M.sl5,CRFVOL.M.sl6,CRFVOL.M.sl7,ORCDRC.units_of_measure,ORCDRC.M.sl1,ORCDRC.M.sl2,ORCDRC.M.sl3,ORCDRC.M.sl4,ORCDRC.M.sl5,ORCDRC.M.sl6,ORCDRC.M.sl7,PHIHOX.units_of_measure,PHIHOX.M.sl1,PHIHOX.M.sl2,PHIHOX.M.sl3,PHIHOX.M.sl4,PHIHOX.M.sl5,PHIHOX.M.sl6,PHIHOX.M.sl7,SLTPPT.units_of_measure,SLTPPT.M.sl1,SLTPPT.M.sl2,SLTPPT.M.sl3,SLTPPT.M.sl4,SLTPPT.M.sl5,SLTPPT.M.sl6,SLTPPT.M.sl7,SNDPPT.units_of_measure,SNDPPT.M.sl1,SNDPPT.M.sl2,SNDPPT.M.sl3,SNDPPT.M.sl4,SNDPPT.M.sl5,SNDPPT.M.sl6,SNDPPT.M.sl7,depthCodesMeters.sd1,depthCodesMeters.sd2,depthCodesMeters.sd3,depthCodesMeters.sd4,depthCodesMeters.sd5,depthCodesMeters.sd6,depthCodesMeters.sl1,depthCodesMeters.sl2,depthCodesMeters.sl3,depthCodesMeters.sl4,depthCodesMeters.sl5,depthCodesMeters.sl6,depthCodesMeters.sl7,depthCodesMeters.xd1,depthCodesMeters.xd2,publication_date
X237,237,241,245,247,245,229,219,229,237,240,238,237,141,151,200,199,176,18,5,15,90,209,219,169,15.91666667,-3.266666667,1,soil,cm,200,kg / cubic-m,1301,1284,1331,1417,1450,1459,1463,cmol / kg,16,15,15,13,13,12,12,percent,27,26,27,31,33,33,34,percent,2,2,3,4,4,4,8,g / kg,18,24,23,14,12,8,9,index*10,51,49,49,49,49,50,50,percent,11,11,11,11,11,10,10,percent,48,64,61,59,56,56,56,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X230,230,235,237,237,233,224,219,221,225,229,225,225,207,208,231,243,198,32,14,34,136,249,281,226,14.755011,-2.539878,2,soil,cm,200,kg / cubic-m,1373,1290,1372,1366,1423,1462,1484,cmol / kg,10,9,10,8,9,8,8,percent,23,22,23,27,30,29,29,percent,0,0,1,1,2,2,3,g / kg,29,24,18,14,8,7,7,index*10,53,49,49,50,50,50,50,percent,11,11,10,10,10,11,11,percent,51,67,67,63,60,60,60,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X232,232,237,239,240,239,227,221,223,227,232,227,228,199,209,234,247,193,33,17,34,135,257,274,221,14.86666667,-2.433333333,3,soil,cm,200,kg / cubic-m,1357,1250,1336,1380,1413,1451,1463,cmol / kg,10,10,10,7,7,7,7,percent,31,31,31,34,37,36,36,percent,0,0,0,1,1,2,3,g / kg,31,30,27,24,21,17,21,index*10,49,47,47,48,48,48,49,percent,9,9,10,9,8,9,9,percent,45,60,59,57,55,55,55,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X252,252,254,257,257,255,248,245,251,250,246,247,248,159,165,176,177,156,47,26,55,156,247,218,185,15.93333333,-2.033333333,4,soil,cm,200,kg / cubic-m,1403,1335,1421,1495,1518,1531,1543,cmol / kg,10,9,8,7,6,6,6,percent,32,32,33,35,37,38,38,percent,1,1,2,2,2,3,5,g / kg,2,18,15,9,8,2,1,index*10,51,50,50,51,51,51,51,percent,15,15,14,14,14,14,14,percent,38,53,53,51,48,48,47,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X254,254,257,259,260,257,250,248,254,251,248,248,249,154,157,168,166,156,45,24,54,160,247,212,175,16.06666667,-1.95,5,soil,cm,200,kg / cubic-m,1367,1307,1355,1460,1481,1497,1512,cmol / kg,12,11,8,7,7,7,7,percent,32,31,33,38,39,39,39,percent,0,0,1,1,2,2,5,g / kg,12,22,17,8,5,4,3,index*10,50,49,49,50,50,51,51,percent,20,20,19,18,18,18,19,percent,33,49,48,44,43,43,41,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X246,246,247,251,252,249,231,223,231,241,247,245,243,174,205,246,223,199,22,9,12,91,245,267,205,13.5833,-1.8667001,6,soil,cm,200,kg / cubic-m,1346,1279,1352,1459,1484,1497,1527,cmol / kg,13,10,8,6,6,5,6,percent,35,34,37,41,46,47,46,percent,5,5,7,8,9,10,13,g / kg,9,20,17,10,4,3,6,index*10,44,44,45,47,47,47,48,percent,12,12,12,12,12,13,13,percent,38,53,51,47,42,40,40,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X246.1,246,247,249,252,253,234,225,233,241,247,243,243,168,208,233,249,199,33,19,25,133,270,242,200,14.2667,-1.6332999,7,soil,cm,200,kg / cubic-m,1373,1298,1378,1424,1458,1473,1482,cmol / kg,14,13,10,8,8,8,8,percent,37,37,39,40,44,44,44,percent,2,3,3,3,3,5,9,g / kg,16,23,18,7,4,3,3,index*10,55,53,54,54,54,54,55,percent,16,16,15,16,15,15,15,percent,31,47,45,43,41,41,40,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X253,253,254,258,258,258,247,242,249,250,252,249,249,160,179,187,196,177,42,27,50,153,262,222,186,15.35,-1.566666667,8,soil,cm,200,kg / cubic-m,1375,1327,1386,1461,1491,1508,1527,cmol / kg,10,9,8,6,6,5,5,percent,31,30,32,35,35,36,36,percent,1,1,3,3,3,4,7,g / kg,25,19,16,8,4,3,2,index*10,52,50,49,50,51,51,51,percent,13,12,12,12,12,12,12,percent,41,57,56,53,53,52,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X245,245,246,249,252,251,234,226,233,242,248,244,243,164,203,229,245,199,34,19,26,136,271,237,196,14.2667,-1.5333,10,soil,cm,200,kg / cubic-m,1425,1410,1445,1461,1477,1520,1536,cmol / kg,9,10,8,7,7,6,6,percent,13,14,15,17,19,19,19,percent,6,6,6,7,6,7,11,g / kg,1,19,16,12,9,7,6,index*10,55,53,53,53,54,54,54,percent,9,9,8,8,8,8,8,percent,62,77,77,74,73,73,73,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X246.2,246,248,250,253,251,234,227,234,244,248,245,244,156,192,224,234,197,34,17,24,137,271,231,191,14.16,-1.38,11,soil,cm,200,kg / cubic-m,1373,1292,1382,1424,1465,1485,1499,cmol / kg,10,10,8,6,6,5,5,percent,35,34,35,37,39,39,39,percent,1,1,2,3,4,4,6,g / kg,13,28,23,11,6,5,4,index*10,51,50,49,50,50,50,51,percent,11,11,11,10,9,9,9,percent,39,55,55,53,52,52,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
