CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000039,IND002,IP 12411,JM 4680,IND002,,,ICRISAT-MISN-091,Pennisetum,glaucum,(L.) R. Br.,americanum,,pearlmillet,,19850101,ZAF,Kraal,-33,27.43,,,,1400,19820428,,,300,,21,,,,,,,12;13,,6a182c59-eced-4b02-86ea-917adbf47d79,,,
10001000039,IND002,IP 12412,JM 4681,IND002,,,ICRISAT-MISN-091,Pennisetum,glaucum,(L.) R. Br.,americanum,,pearlmillet,,19850101,ZAF,Groendal,-31.67,27.36,,,,1200,19820428,,,300,,21,,,,,,,12;13,,aabb37eb-5408-478c-b462-d7b8bb3fb272,,,
10001000039,ETH013,18207,1157,ITA303,,,IPGRI-487,Pennisetum,sphacelatum,(Nees)Th.Dur.& Schinz,,,pearlmillet,,19950201,LSO,5.5km from Sehlabathebe Village in a W direction along rd to Matebeng Pass.,-29.8833,28.9833,,,,2450,19900219,,,100,,,ITA303,,,,,,10,TRUE,d0d11653-9b7e-4de6-93f0-a7fcdf8b717a,,,
10001000039,ETH013,18167,1116,ITA303,,,IPGRI-487,Pennisetum,thunbergii,Kunth,,,pearlmillet,,19950201,LSO,0.2 km from Sehlabathebe Park Lodge in E direction,-29.8667,29.1167,,,,2400,19900215,,,100,,,ITA303,,,,,,10,TRUE,04fb677a-3570-4dc2-a3dc-a0a12c831ae1,,,
10001000039,ETH013,18187,1136,ITA303,,,IPGRI-487,Pennisetum,sphacelatum,(Nees)Th.Dur.& Schinz,,,pearlmillet,,19950201,LSO,c1 km from Sehlabathebe Lodge in a N direction.,-29.85,29.1167,,,,2400,19900217,,,100,,,ITA303,,,,,,10,TRUE,0b8c3811-05aa-4586-8fcb-316ab916bbfe,,,
10001000039,ETH013,18292,1252,ITA303,,,IPGRI-487,Pennisetum,sphacelatum,(Nees)Th.Dur.& Schinz,,,pearlmillet,,19950201,LSO,c4km from Lesobeng Agric. Station. in a SW direction along rd to airstrip.,-29.7167,28.4167,,,,2125,19900303,,,100,,,ITA303,,,,,,10,TRUE,75753294-59b1-45f8-b180-7bcc3ea88f29,,,
10001000039,ETH013,18252,1208,ITA303,,,IPGRI-487,Pennisetum,sphacelatum,(Nees)Th.Dur.& Schinz,,,pearlmillet,,19950201,LSO,5.5km from Thaba-Tseka in a S direction along rd to Koeneng.,-29.55,28.6167,,,,2225,19900227,,,100,,,ITA303,,,,,,10,TRUE,9cc2e7bc-a877-4121-b22d-ca8902eb6f95,,,
10001000039,ETH013,18342,1719,ITA303,,,IPGRI-489,Pennisetum,sphacelatum,(Nees)Th.Dur.& Schinz,,,pearlmillet,,19950201,LSO,Sani Area c2km NE of Ha Ammonia Woodsheds in catchment of Mangaung River.,-29.5333,29.25,,,,2800,19910210,,,100,,,ITA303,,,,,,10,TRUE,2c9da526-af57-4391-b53b-2ae60ca4b898,,,
10001000039,IND002,IP 12402,JM 4639,IND002,,,ICRISAT-MISN-091,Pennisetum,glaucum,(L.) R. Br.,americanum,,pearlmillet,,19850101,ZAF,Bosplas,-29.379999,25.92,,,,1200,19820426,,,300,,21,,,,,,,12;13,,8a17eca0-d836-45a4-9eab-a2712ae620a8,,,
10001000039,IND002,IP 12403,JM 4640,IND002,,,ICRISAT-MISN-091,Pennisetum,glaucum,(L.) R. Br.,americanum,,pearlmillet,,19850101,ZAF,Bosplas,-29.379999,25.92,,,,1200,19820426,,,300,,21,,,,,,,12;13,,613f9400-9ffd-43da-b508-e11984e75c2d,,,
