CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000059,USA042,HART 54,200,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,MAIRE,19910409,PYF,Moorea,-17.5331897,-149.8363421,,,,,,,,999,,99,,,,200;USA126:N91-32;MAIRE,,,99,,0910e065-7b09-4cea-b444-79fb5f91c8a4,,,
10001000059,USA042,HART 16,207,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,PUERO,19870428,PYF,"Papetoai, Moorea",-17.49332,-149.8723,,,,,19870408,,,500,,50,,,,207;PUERO,,,99,,b573887b-47cc-4797-a0c7-29b964848670,,,
10001000059,USA042,HART 18,204,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,PUA'A,19870428,PYF,"Papetoai, Moorea",-17.49332,-149.8723,,,,,19870407,,,500,,50,,,,204;PUA'A,,,20,,05038dad-4e7a-464c-b062-e4dee78135cf,,,
10001000059,USA042,HART 44,200,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,MAIRE,19880922,PYF,"Papetoai, Moorea",-17.49332,-149.8723,,,,,19870406,,,500,,50,,,,200;MAIRE,,,20,,1601ff5c-4f12-4924-81f7-6e7145471905,,,
10001000059,USA042,HART 29,268,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,APU,19880714,PYF,"Fetuna, Raiatea",-16.90379,-151.434494,,,,,19870507,,,500,,50,,,,268;APU,,,99,,31b9ae03-b7dd-4957-88a3-89bf1f170dc1,,,
10001000059,USA042,HART 34,272,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,APUAPUA,19880811,PYF,"Fetuna, Raiatea",-16.90379,-151.434494,,,,,19870507,,,500,,50,,,,272;APUAPUA,,,99,,bed8b653-5ad5-42d9-8a20-94c6d627154f,,,
10001000059,USA042,HART 42,264,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,IOIO,19880909,PYF,"Delord's, Raiatea",-16.8332802,-151.4197108,,,,,19870504,,,500,,50,,,,264;IOIO,,,20,,7ab16900-06c2-4780-8f5d-ddcd8dc31ef0,,,
10001000059,USA042,HART 45,258,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,TUUTOU,19880922,PYF,"Delord's, Raiatea",-16.8332802,-151.4197108,,,,,19870504,,,500,,50,,,,258;TAATAATOETOE;TUUTOU,,,99,,da5e330c-3b30-4875-ae12-0d6a8ad1d224,,,
10001000059,USA042,HART 30,256,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,HUERO,19880714,PYF,"Faaro, Raiatea",-16.818283,-151.41881,,,,,19870429,,,500,,50,,,,256;HUERO,,,30,,5a601572-8e80-4b79-bf3e-9a20bd980891,,,
10001000059,USA042,HART 33,241,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,PATARA,19880811,PYF,Tahaa,-16.6822227,-151.4700016,,,,,,,,500,,50,,,,241;PATARA,,,20,,d90170fc-b89e-48a8-a088-d5e71a09aa55,,,
10001000059,USA042,HART 32,236,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,HAMOA,19880811,PYF,"Tiva, Tahaa",-16.64332,-151.53623,,,,,19870423,,,500,,50,,,,236;HAMOA,,,20,,7fcc8912-03b9-47b6-a5c3-00d78a74c4ff,,,
10001000059,USA042,HART 40,251,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,TEAHIMATOA,19880909,PYF,"Tiva, Tahaa",-16.64332,-151.53623,,,,,19870429,,,500,,50,,,,251;TEAHIMATOA,,,20,,a4b640e0-523f-431d-a0ed-c118764117ac,,,
10001000059,USA042,NTBG 900244 001,,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,PUA,19910710,PYF,,-16.63333333,-151.5333333,,,,,19870430,,,300,,,,,,PUA;USA126:NTBG 900244 001,,,99,,559c2dee-8bc0-45b4-bf57-7513fb7d734b,,,
10001000059,USA042,NTBG 900228 001,Ragone 13,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,Unidentified 02,19900327,WSM,Savaii,-13.5,-172.65,,,,4,19850805,,,300,,,,,,Unidentified 02;Ragone 13;USA126:NTBG 900228 001,,,99,,dea62204-2c56-4609-b6a6-3146ff52eb17,,,
10001000059,USA042,HART 50,426,,,,,Artocarpus,altilis,(Parkinson) Fosberg,,,breadfruit,KUKUMU TASI,19910409,SLB,Upolu,-9.606699,160.121562,,,,,19910409,,,999,,99,,,,426;USA126:N91-28;KUKUMU TASI,,,99,,89443070-ada0-42c0-8356-76f91d0ccd7f,,,
10001000059,USA042,NTBG 890181 001,Ragone 61,,,,,Artocarpus,hybr.,,,,breadfruit,Ulu afa,19900327,TKL,Fakaofo: Fale Village,-9.36666667,-171.2333333,,,,0,19851109,,,300,Most likely Artocarpus altilis x A. mariannensis from collection area.,,,,,Ulu afa;Ragone 61;USA126:NTBG 890181 001,,,99,,73b7f345-f7cc-46f8-bd38-33d10206be33,,,
10001000059,USA042,NTBG 890181 002,Ragone 61,,,,,Artocarpus,hybr.,,,,breadfruit,Ulu afa,19900327,TKL,Fakaofo: Fale Village,-9.36666667,-171.2333333,,,,0,19851109,,,300,Most likely Artocarpus altilis x A. mariannensis from collection area.,,,,,Ulu afa;Ragone 61;USA126:NTBG 890181 002,,,99,,8d2c7e0b-1676-45db-88e3-3aa038955d54,,,
