CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000035,IND002,ICP 15613,,,,,ICRISAT-MISN-N/A,Cajanus,acutifolius,(F. von Muell.) van der Maesen,,,pigeonpea,,19950706,AUS,16E of Moline,-31.91,115.8,,,,,,,,100,,10,,,,ICPW 012;NT 7521,,,12,,5401e7b1-1ee9-421c-841e-518030e1533b,,,
10001000035,IND002,ICP 13644,JM 4676,IND002,,,ICRISAT-MISN-091,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19860621,ZAF,1000 Annex to Schoonoord; Sekhukhunie,-26,29.760002,,,,1300,19820428,,,300,,21,,,,,,,12;13,,04ae148f-2546-44aa-b0bf-db8bbbab12ef,,,
10001000035,IND002,ICP 15677,,,,,ICRISAT-MISN-N/A,Cajanus,reticulatus,(Dryander) F. von Muell.,,,pigeonpea,,19950706,AUS,3.4W of Almadeu,-24.83,130.84,,,,,,,,100,,10,,,,ICPW 076;IBS 2458,,,12,,1b91c59c-4785-4b32-be1a-7bc6637afd27,,,
10001000035,IND002,ICP 13645,JM 4692,IND002,,,ICRISAT-MISN-091,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19860621,ZAF,12N of Duivelskloof,-23.620008,30.120008,,,,800,19820429,,,300,,21,,,,,,,12;13,,aef8f0f4-7885-437f-b8e5-288cce89fba6,,,
10001000035,IND002,ICP 13998,JM 4688,IND002,,,ICRISAT-MISN-091,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19870716,ZAF,Sekgopo; Sekgosese,-23.459999,29.809999,,,,900,19820429,,,300,,21,,,,,,,12;13,,3ba03a3e-63ea-46bd-851c-346ef6a436a3,,,
10001000035,COL003,20891,049/036-01,,,,,Cajanus,cajan,,,,pigeonpea,,19871130,BRA,"IMBARIE-PETROPOLIS, KMS: 5, DIRECCION: NORTE, 9 KM SUR PETROPOLIS",-22.5333,-43.1667,,,,470,19870827,,,,,,,,,049/036-01;BRA-002372;LC-8278,,,,,5ed9113a-3388-47c7-a31e-c5ede2ccda07,,,
10001000035,COL003,20892,049/036-02,,,,,Cajanus,cajan,,,,pigeonpea,,19871130,BRA,"IMBARIE-PETROPOLIS, KMS: 5, DIRECCION: NORTE, 9 KM SUR PETROPOLIS",-22.5333,-43.1667,,,,470,19870827,,,,,,,,,049/036-02;BRA-002381;LC-8279,,,,,4b2a2e16-9a48-4449-8104-ed21266e9a3e,,,
10001000035,COL003,20893,049/041-01,,,,,Cajanus,cajan,,,,pigeonpea,,19871130,BRA,"TERESOPOLIS-NOVA FRIBURGO, KMS: 3, DIRECCION: NORESTE, CARRETERA RJ-130;65 KM SUROESTE NOVA FRIBURGO",-22.3833,-42.95,,,,900,19870827,,,,,,,,,049/041-01;BRA-002399;LC-8291,,,,,619c9c5f-86b2-48f2-bc8e-545cb9bfe880,,,
10001000035,ETH013,19175,JBH708,,,,,Cajanus,acutifolius,(F. Muell.) Maesen,,,pigeonpea,,20010123,AUS,5KM.W MT ISA,-20.72,139.44,,,,,19840628,,,100,,,AUS008,,,CQ 2892,AUS053,,10,TRUE,df8510ea-5f39-41c9-8c3e-8b33270d4eb4,,,
10001000035,IND002,ICP 15634,PR 4221,IND002,,,ICRISAT-MISN-053,Cajanus,reticulatus,(Dryander) F. von Muell.,,,pigeonpea,,19950706,AUS,2 km Greenvale towards Charters towers,-20.069999,146.25,,,,,19790503,,,100,,10,,,,ICPW 033,,,12,,686fb334-49ad-4cb9-91d3-7c7583924e96,,,
