CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000051,NGA039,TDa-3699,PS92-Co-143,,Padulosi S.,,,Dioscorea,alata,,,,yam,,,COG,,-3.266666667,15.91666667,,,,,19920106,,,300,,,,,,,,,13;30,,60a198f7-b6f3-40bc-804a-24fa6dec58dd,,http://my.iita.org/accession2/accession/TDa-3699,
10001000051,NGA039,TDa-1372,AG88-335,,,,,Dioscorea,alata,,,,yam,,,COG,,-2.539878,14.755011,,,,,19880101,,,300,,,,,,,,,13;30,,657d0c4d-9bab-4ff6-a2f9-28f4236a47ba,,http://my.iita.org/accession2/accession/TDa-1372,
10001000051,NGA039,TDa-3701,PS92-Co-153,,Padulosi S.,,,Dioscorea,alata,,,,yam,,,COG,,-2.433333333,14.86666667,,,,622,19920106,,,300,,,,,,,,,13;30,,bf988585-a3d5-4b78-a784-388f56c9051c,,http://my.iita.org/accession2/accession/TDa-3701,
10001000051,NGA039,TDa-1360,AG88-351,,,,,Dioscorea,alata,,,,yam,,,COG,,-2.033333333,15.93333333,,,,319,19880101,,,300,,,,,,,,,13;30,,a219a6b9-1b7e-4899-b057-b33e666a71c6,,http://my.iita.org/accession2/accession/TDa-1360,
10001000051,NGA039,TDa-3703,PS92-Co-99,,Padulosi S.,,,Dioscorea,alata,,,,yam,,,COG,,-1.95,16.06666667,,,,333,19920106,,,300,,,,,,,,,13;30,,702e8440-562d-4f13-9b76-86c3e55dc281,,http://my.iita.org/accession2/accession/TDa-3703,
10001000051,NGA039,TDa-3120,PS-89 - 47,,,,,Dioscorea,alata,,,,yam,,,GAB,,-1.8667001,13.5833,,,,14,19890101,,,300,,,,,,,,,13;30,,bf54f3e4-18e0-42d0-aa8e-d240f0f62ccf,,http://my.iita.org/accession2/accession/TDa-3120,
10001000051,NGA039,TDa-3125,PS-89 - 168,,padulosi S.,,,Dioscorea,alata,,,,yam,,,GAB,,-1.6332999,14.2667,,,,502,19890101,,,300,,,,,,,,,13;30,,7750ae63-549e-41bf-9f8f-cdfa61eefb4a,,http://my.iita.org/accession2/accession/TDa-3125,
10001000051,NGA039,TDa-1355,AG88-358,,,,,Dioscorea,alata,,,,yam,,,COG,,-1.566666667,15.35,,,,537,19880101,,,300,,,,,,,,,13;30,,eb6bbdb3-e698-47ad-a754-f8921dba28e5,,http://my.iita.org/accession2/accession/TDa-1355,
10001000051,NGA039,TDa-1371,AG88-359,,,,,Dioscorea,alata,,,,yam,,,COG,,-1.566666667,15.35,,,,537,19880101,,,300,,,,,,,,,13;30,,a5eeb981-2146-4288-8e96-3709982c9b4c,,http://my.iita.org/accession2/accession/TDa-1371,
10001000051,NGA039,TDa-3127,PS-89 - 174,,,,,Dioscorea,alata,,,,yam,,,GAB,,-1.5333,14.2667,,,,502,19890101,,,300,,,,,,,,,13;30,,952bf627-b317-449a-bf31-4f46680bca21,,http://my.iita.org/accession2/accession/TDa-3127,
10001000051,NGA039,TDa-1313,PS-89 - 168,,,,,Dioscorea,alata,,,,yam,,,GAB,,-1.38,14.16,,,,502,,,,300,,,,,,,,,13;30,,97cbd7b5-74aa-47c9-ad3e-fbb7de52af17,,http://my.iita.org/accession2/accession/TDa-1313,
10001000051,NGA039,TDa-1366,AG88-368,,,,,Dioscorea,alata,,,,yam,,,COG,,-1.266666667,14.91666667,,,,441,19880101,,,300,,,,,,,,,13;30,,0ab6d55a-2431-4408-9c02-2d7d49d3b3ec,,http://my.iita.org/accession2/accession/TDa-1366,
10001000051,NGA039,TDa-4200,5 4,,,,,Dioscorea,alata,,,,yam,,,,Randomu,2,10,,,,,,,,300,,,,,,,,,13;30,,80c189da-0589-4550-9357-af237d03dfc0,,http://my.iita.org/accession2/accession/TDa-4200,
10001000051,NGA039,TDa-3128,EQ-89 - 23,,,,,Dioscorea,alata,,,,yam,,,GNQ,,3.3333001,8.6667004,,,,1020,19890101,,,300,,,,,,,,,13;30,,73d4422d-4053-43e5-ad97-9c5faf2418f8,,http://my.iita.org/accession2/accession/TDa-3128,
10001000051,NGA039,TDa-4041,,,,,,Dioscorea,alata,,,,yam,,,NGA,"BORI, BORI LGA, RIVERS STATE",4.699215,7.430763,,,,23,,,,300,,,,,,,,,13;30,,31deee5d-5a3f-4fb6-9100-b6f19cce3546,,http://my.iita.org/accession2/accession/TDa-4041,
10001000051,NGA039,TDa-4113,BF-98-31,,,,,Dioscorea,alata,,,,yam,,,BFA,Uoutori,5.431944444,7.855277778,,,,,,,,300,,,,,,,,,13;30,,ca32467d-4465-4152-97a7-1115a4cbfeba,,http://my.iita.org/accession2/accession/TDa-4113,
10001000051,NGA039,TDa-4195,2 31,,,,,Dioscorea,alata,,,,yam,,,,Atchave,6.1608,1.2381,,,,65,,,,300,,,,,,,,,13;30,,bcd7cb79-22e6-4b83-9aab-eb05382fb4a7,,http://my.iita.org/accession2/accession/TDa-4195,
