"","temp","rain","ph","depth","texture","total","noraintotal","avetotal","lon","lat"
"1",100,100,83,80,10,6.64,6.64,74.6,-149.8363421,-17.5331897
"2",100,100,100,80,10,8,8,78,-149.8723,-17.49332
"3",100,100,50,80,50,20,20,76,160.121562,-9.606699
"4",100,0,100,80,50,0,40,66,158.258382,6.862068
"5",100,0,100,80,50,0,40,66,158.269051,6.867367
"6",100,0,83,80,50,0,33.2,62.6,134.47917,7.34194
"7",100,0,92,80,50,0,36.8,64.4,151.8550873,7.441454
"8",100,0,50,80,50,0,20,56,134.566018,7.494871
"9",100,0,92,80,50,0,36.8,64.4,134.6000061,7.4999995
"10",100,100,100,80,50,40,40,86,145.7623238,15.2022782
