"","temp","rain","ph","depth","texture","total","noraintotal","avetotal","lon","lat"
"1",60,100,100,80,100,48,48,88,29.760002,-26
"2",100,100,100,80,100,80,80,96,30.120008,-23.620008
"3",97,100,100,80,100,77.6,77.6,95.4,29.809999,-23.459999
"4",100,0,100,80,100,0,80,76,-43.1667,-22.5333
"5",100,0,100,80,50,0,40,66,-42.95,-22.3833
"6",100,0,100,80,50,0,40,66,-54.3833,-19.6
"7",100,100,100,80,50,40,40,86,34.400001,-19.049999
"8",100,100,100,80,50,40,40,86,35.616389,-17.499444
"9",100,100,100,80,50,40,40,86,35.749722,-17.347778
"10",100,0,100,80,50,0,40,66,-53.2167,-17.3167
"11",100,100,100,80,50,40,40,86,37.060001,-17.209999
"12",100,100,100,80,50,40,40,86,36.744722,-16.939722
"13",100,100,100,80,50,40,40,86,35.262169,-16.921221
"14",100,100,100,80,50,40,40,86,35.259998,-16.92
"15",100,100,100,80,50,40,40,86,35.159999,-16.899999
"16",100,100,100,80,50,40,40,86,37.81,-16.89
"17",100,100,100,80,50,40,40,86,37.810001,-16.889999
"18",100,100,100,80,50,40,40,86,37.050833,-16.866389
"19",100,100,100,80,50,40,40,86,27.069999,-16.829999
"20",100,100,100,80,50,40,40,86,35.150001,-16.7
"21",100,100,100,80,50,40,40,86,35.009998,-16.549999
"22",100,100,100,80,50,40,40,86,35.060001,-16.280001
"23",100,100,100,80,50,40,40,86,34.909999,-16.260002
"24",100,0,100,80,50,0,40,66,35.749722,-16.133056
"25",100,100,100,80,50,40,40,86,35.150001,-16.1
"26",100,0,100,80,50,0,40,66,35.741667,-16.083056
"27",100,100,100,80,50,40,40,86,35.150001,-16.069999
"28",100,100,100,80,50,40,40,86,34.529998,-16.049999
"29",100,0,100,80,50,0,40,66,35.490001,-16.030001
"30",100,0,100,80,50,0,40,66,35.5,-16.030001
"31",100,100,100,80,50,40,40,86,34.779998,-16.02
"32",100,100,100,80,50,40,40,86,34.801001,-16.003501
"33",100,100,100,80,50,40,40,86,35.26,-15.99
"34",100,100,100,80,50,40,40,86,35.259998,-15.989999
"35",100,0,100,80,50,0,40,66,35.409999,-15.949999
"36",100,100,100,80,50,40,40,86,38.950001,-15.899999
"37",100,0,100,80,50,0,40,66,35.75,-15.85
"38",100,100,100,80,50,40,40,86,34.990001,-15.789999
"39",100,100,100,80,50,40,40,86,34.400001,-15.729999
"40",100,100,100,80,50,40,40,86,34.650001,-15.729999
"41",100,100,100,80,50,40,40,86,35.180001,-15.699999
"42",100,100,100,80,50,40,40,86,35.180001,-15.689999
"43",100,100,100,80,50,40,40,86,34.52,-15.6
"44",100,100,100,80,50,40,40,86,34.479999,-15.59
"45",100,100,100,80,50,40,40,86,34.630001,-15.55
"46",100,0,100,80,50,0,40,66,36.250001,-15.52
"47",100,100,100,80,50,40,40,86,35.389999,-15.479999
"48",100,100,100,80,50,40,40,86,35.310001,-15.479999
"49",100,100,100,80,50,40,40,86,23.059999,-15.479999
"50",100,100,100,80,50,40,40,86,39.610001,-15.460003
"51",100,100,100,80,50,40,40,86,28.29,-15.42
"52",100,100,100,80,50,40,40,86,37.583056,-15.417222
"53",100,100,100,80,50,40,40,86,35.430001,-15.409999
"54",100,100,100,80,50,40,40,86,35.310001,-15.383333
"55",100,100,100,80,50,40,40,86,35.310001,-15.380001
"56",100,100,100,80,50,40,40,86,37.549722,-15.376389
"57",100,100,100,80,50,40,40,86,38.963056,-15.321667
"58",100,100,100,80,50,40,40,86,38.020001,-15.300001
"59",100,100,100,80,50,40,40,86,38.659722,-15.283056
"60",100,100,100,80,50,40,40,86,40.483056,-15.174167
"61",100,100,100,80,50,40,40,86,35.509998,-15.060001
"62",100,100,100,80,50,40,40,86,38.166389,-14.980278
"63",100,100,100,80,50,40,40,86,34.955816,-14.979999
"64",100,100,100,80,50,40,40,86,35.509998,-14.96
"65",100,100,100,80,50,40,40,86,37.504444,-14.949722
"66",100,100,100,80,50,40,40,86,28.120003,-14.930003
"67",100,100,100,80,50,40,40,86,40.155278,-14.918889
"68",100,100,100,80,50,40,40,86,40.233056,-14.916389
"69",100,100,100,80,50,40,40,86,39.948889,-14.797222
"70",100,100,100,80,50,40,40,86,38.953333,-14.716389
"71",100,100,100,80,50,40,40,86,35.409999,-14.680001
"72",100,100,100,80,50,40,40,86,30.379257,-14.654842
"73",100,100,100,80,50,40,40,86,30.377197,-14.647368
"74",100,100,100,80,50,40,40,86,38.816944,-14.622778
"75",100,100,100,80,50,40,40,86,38.279998,-14.569999
"76",100,100,100,80,50,40,40,86,38.765556,-14.559167
"77",100,100,100,80,50,40,40,86,39.897615,-14.371289
"78",100,100,100,80,50,40,40,86,31.329999,-14.25
"79",100,100,100,80,50,40,40,86,32.060001,-14.079999
"80",100,100,100,80,50,40,40,86,32.047119,-14.075309
"81",100,100,100,80,50,40,40,86,32.044372,-14.072645
"82",100,100,100,80,50,40,40,86,32.048835,-14.071312
"83",100,100,100,80,50,40,40,86,32.047119,-14.071312
"84",100,100,100,80,50,40,40,86,32.630001,-14.050001
"85",100,100,100,80,50,40,40,86,32.630001,-14.05
"86",100,100,100,80,50,40,40,86,31.2,-14.020001
"87",100,100,100,80,50,40,40,86,33.729999,-13.960147
"88",100,100,100,80,50,40,40,86,33.729999,-13.96
"89",100,100,100,80,50,40,40,86,34.009998,-13.819999
"90",100,100,100,80,50,40,40,86,39.840278,-13.699722
"91",100,100,100,80,50,40,40,86,25.809999,-13.310001
"92",100,100,100,80,50,40,40,86,33.619998,-13.279999
"93",100,100,100,80,50,40,40,86,33.990001,-13.260002
"94",100,100,100,80,50,40,40,86,32.420654,-13.218555
"95",100,100,100,80,50,40,40,86,31.909999,-13.159999
"96",100,100,100,80,50,40,40,86,31.899999,-13.149999
"97",100,100,100,80,50,40,40,86,32.398681,-13.090179
"98",100,100,100,80,50,40,40,86,32.431641,-13.068776
"99",100,100,100,80,50,40,40,86,32.365722,-13.047372
"100",100,100,100,80,50,40,40,86,32.409668,-13.036669
"101",100,100,100,80,50,40,40,86,32.464599,-13.036669
"102",100,100,100,80,50,40,40,86,32.382202,-13.025965
"103",100,100,100,80,50,40,40,86,32.343751,-13.025965
"104",100,100,100,80,50,40,40,86,32.464599,-12.951029
"105",100,100,100,80,50,40,40,86,32.420654,-12.940322
"106",100,100,100,80,50,40,40,86,27.370001,-12.890003
"107",100,100,100,80,50,40,40,86,24.86,-12.479999
"108",100,100,100,80,50,40,40,86,33.360001,-12.399999
"109",100,100,100,80,50,40,40,86,33.183332,-12.300001
"110",100,100,100,80,50,40,40,86,33.175277,-12.291032
"111",100,100,100,80,50,40,40,86,33.2,-12.279999
"112",100,100,100,80,50,40,40,86,26.399999,-12.180003
"113",100,100,100,80,50,40,40,86,33.150001,-12.149999
"114",100,100,100,80,50,40,40,86,31.459999,-11.84
"115",100,100,100,80,50,40,40,86,33.630001,-11.71
"116",100,100,100,80,50,40,40,86,32.900001,-11.550001
"117",100,100,100,80,50,40,40,86,31.930003,-11.3
"118",100,100,100,80,50,40,40,86,37.360006,-11.109999
"119",100,100,100,80,50,40,40,86,33.180001,-11.109999
"120",100,100,100,80,50,40,40,86,37.369998,-11.090001
"121",100,100,100,80,50,40,40,86,39.245001,-10.948889
"122",100,100,100,80,50,40,40,86,39.299999,-10.930003
"123",100,100,100,80,50,40,40,86,39.069999,-10.920006
"124",100,100,100,80,50,40,40,86,39.349722,-10.916389
"125",100,100,100,80,50,40,40,86,34.950001,-10.899999
"126",100,100,100,80,50,40,40,86,38.998056,-10.899722
"127",100,100,100,80,50,40,40,86,39.199722,-10.897778
"128",100,100,100,80,50,40,40,86,38.753611,-10.778889
"129",100,100,100,80,50,40,40,86,35.360001,-10.75
"130",100,100,100,80,50,40,40,86,38.799999,-10.720002
"131",100,100,100,80,50,40,40,86,38.799722,-10.708056
"132",100,100,100,80,50,40,40,86,35.650001,-10.680003
"133",100,100,100,80,50,40,40,86,38.805833,-10.667778
"134",100,100,100,80,50,40,40,86,39.290001,-10.550001
"135",100,100,100,80,50,40,40,86,38.749722,-10.333056
"136",100,100,100,80,50,40,40,86,38.758889,-10.299722
"137",100,100,100,80,50,40,40,86,38.719167,-10.283056
"138",100,100,100,80,50,40,40,86,40.180001,-10.270001
"139",100,100,100,80,50,40,40,86,40.18,-10.27
"140",100,100,100,80,50,40,40,86,38.648889,-10.233056
"141",100,100,100,80,50,40,40,86,39.950007,-10.229999
"142",100,100,100,80,50,40,40,86,38.782778,-10.212501
"143",100,100,100,80,50,40,40,86,39.849444,-10.211111
"144",100,100,100,80,50,40,40,86,38.599722,-10.209444
"145",100,100,100,80,50,40,40,86,39.779998,-10.149999
"146",100,100,100,80,50,40,40,86,38.867501,-10.125278
"147",100,100,100,80,50,40,40,86,31.059999,-10.119999
"148",100,100,100,80,50,40,40,86,32.580001,-10.069999
"149",100,100,100,80,50,40,40,86,31.18,-10.02
"150",100,100,100,80,50,40,40,86,39.7,-9.989999
