"","temp","rain","ph","depth","texture","total","noraintotal","avetotal","lon","lat"
"1",90,66.6666666666667,100,80,50,23.6666666666667,36,77.3333333333333,15.91666667,-3.266666667
"2",83.3333333333333,33.3333333333333,100,80,50,10.8666666666667,33.3333333333333,69.3333333333333,14.755011,-2.539878
"3",85.5,33.3333333333333,80,80,50,8.93333333333333,27.36,65.7666666666667,14.86666667,-2.433333333
"4",99.5,58.3333333333333,100,80,50,23.1666666666667,39.8,77.5666666666667,15.93333333,-2.033333333
"5",100,58.3333333333333,0,80,50,0,0,57.6666666666667,16.06666667,-1.95
"6",93.9166666666667,41.6666666666667,0,80,50,0,0,53.1166666666667,13.5833,-1.8667001
"7",94.4166666666667,41.6666666666667,100,80,50,15.2333333333333,37.7666666666667,73.2166666666667,14.2667,-1.6332999
"8",99.8333333333333,41.6666666666667,100,80,50,16.6333333333333,39.9333333333333,74.3,15.35,-1.566666667
"9",94.5,41.6666666666667,100,80,50,15.3333333333333,37.8,73.2333333333333,14.2667,-1.5333
"10",95.1666666666667,50,100,80,50,18.5666666666667,38.0666666666667,75.0333333333333,14.16,-1.38
"11",96.3333333333333,50,100,80,50,18.9333333333333,38.5333333333333,75.2666666666667,14.91666667,-1.266666667
"12",95.4166666666667,16.6666666666667,60,80,50,4,22.9,60.4166666666667,10,2
"13",44.8333333333333,25,100,80,50,4.83333333333333,17.9333333333333,59.9666666666667,8.6667004,3.3333001
"14",100,25,100,80,50,10,40,71,7.430763,4.699215
"15",100,33.3333333333333,100,80,50,13.3333333333333,40,72.6666666666667,7.855277778,5.431944444
"16",100,64.5833333333333,100,80,50,25.8333333333333,40,78.9166666666667,1.2381,6.1608
"17",100,46,100,80,50,18.4,40,75.2,6.75,6.183333
"18",100,99.8333333333333,100,80,50,39.9333333333333,40,85.9666666666667,0.24,6.19
"19",100,45.5833333333333,100,80,50,18.2333333333333,40,75.1166666666667,6.7317008,6.1978136
"20",97.9166666666667,47.1666666666667,100,80,50,18.7666666666667,39.1666666666667,75.0166666666667,7.3975,6.2865
"21",100,99.9166666666667,100,80,50,39.9666666666667,40,85.9833333333333,0.43329999,6.3167
"22",90.4166666666667,58.3333333333333,100,80,50,21.5333333333333,36.1666666666667,75.75,-0.40000001,6.3167
"23",100,100,100,80,50,40,40,86,0.38330001,6.3167
"24",100,100,100,80,50,40,40,86,0.40000001,6.3167
"25",100,58.3333333333333,100,80,50,23.3333333333333,40,77.6666666666667,-2.5999999,6.3167
"26",100,46.3333333333333,100,80,50,18.5333333333333,40,75.2666666666667,6.5833,6.35
"27",100,83.0833333333333,100,80,50,33.2333333333333,40,82.6166666666667,2.03,6.39
"28",100,58.3333333333333,100,80,50,23.3333333333333,40,77.6666666666667,-0.56669998,6.4166999
"29",100,100,100,80,50,40,40,86,0.56669998,6.4166999
"30",100,83.5833333333333,100,80,50,33.4333333333333,40,82.7166666666667,2.08,6.44
"31",100,100,100,80,50,40,40,86,0.6919,6.5046
"32",100,100,100,80,50,40,40,86,0.2333,6.5332999
"33",89.1666666666667,58.3333333333333,100,80,50,21.2,35.6666666666667,75.5,-0.6667,6.65
"34",98.4166666666667,66.6666666666667,100,80,50,26.4333333333333,39.3666666666667,79.0166666666667,-0.46669999,6.6500001
"35",99.25,45.9166666666667,100,80,50,18.3666666666667,39.7,75.0333333333333,6.38687,6.65504
"36",89.8333333333333,58.3333333333333,100,80,50,21.3333333333333,35.9333333333333,75.6333333333333,-0.699,6.6666999
"37",100,85.1666666666667,100,80,50,34.0666666666667,40,83.0333333333333,2.02,6.6700001
"38",100,90.6666666666667,100,80,50,36.2666666666667,40,84.1333333333333,2.1300001,6.73
"39",100,96.6666666666667,100,80,50,38.6666666666667,40,85.3333333333333,2.6500001,6.73
"40",100,91.6666666666667,100,80,50,36.6666666666667,40,84.3333333333333,0.31670001,6.8499999
"41",100,91.6666666666667,100,80,50,36.6666666666667,40,84.3333333333333,-0.46669999,6.8832998
"42",100,89.5833333333333,100,80,50,35.8333333333333,40,83.9166666666667,1.883333333,6.933333333
"43",100,75,100,80,50,30,40,81,0.30000001,6.9833002
"44",100,86.8333333333333,0,80,50,0,0,63.3666666666667,2.39,7.02
"45",91.5833333333333,99.5,100,80,50,36.4333333333333,36.6333333333333,84.2166666666667,-2.0667,7.0833001
"46",100,25,100,80,50,10,40,71,-11.35,7.22
"47",98.6666666666667,62.25,100,80,50,24.7333333333333,39.4666666666667,78.1833333333333,5.3,7.23
"48",100,79.0833333333333,100,80,50,31.6333333333333,40,81.8166666666667,3.5333,7.2333
"49",91.6666666666667,97.4166666666667,100,80,50,35.6333333333333,36.6666666666667,83.8166666666667,-2.6833,7.3167
"50",100,25,100,80,50,10,40,71,-11.72083,7.35806
"51",100,76.0833333333333,100,80,50,30.4333333333333,40,81.2166666666667,3.9018433,7.4708848
"52",100,76.5,100,80,50,30.6,40,81.3,3.9099205,7.5014243
"53",100,24.5,100,80,50,9.8,40,70.9,-12.51,7.53
"54",97.6666666666667,98.0833333333333,100,80,50,38.3,39.0666666666667,85.15,-2.0667,7.5332999
"55",100,25,0,80,50,0,0,51,-12.37306,7.54167
"56",100,85.4166666666667,100,80,50,34.1666666666667,40,83.0833333333333,-1.2,7.5500002
"57",100,74,100,80,50,29.6,40,80.8,-0.9808,7.7554
"58",100,33.3333333333333,100,80,50,13.3333333333333,40,72.6666666666667,-11.1875,7.87667
"59",100,33.3333333333333,100,80,50,13.3333333333333,40,72.6666666666667,-11.14,7.94
"60",100,85.75,100,80,50,34.3,40,83.15,-2,8
"61",100,79.6666666666667,100,80,50,31.8666666666667,40,81.9333333333333,2.1700001,8.0200005
"62",100,82.4166666666667,100,80,50,32.9666666666667,40,82.4833333333333,4.1300001,8.0299997
"63",100,30,100,80,50,12,40,72,-12.1,8.04
"64",100,30,100,80,50,12,40,72,-12.85,8.13
"65",100,82.0833333333333,100,80,50,32.8333333333333,40,82.4166666666667,4.2666667,8.1333337
"66",100,75.4166666666667,100,80,50,30.1666666666667,40,81.0833333333333,2.37,8.2
"67",100,25,100,80,50,10,40,71,-10.7124,8.2451
"68",100,29.5833333333333,100,80,50,11.8333333333333,40,71.9166666666667,-11.93,8.35
"69",100,59,100,80,50,23.6,40,77.8,1.92,8.4200001
"70",98.8333333333333,33.3333333333333,100,80,50,13.3333333333333,39.5333333333333,72.4333333333333,-11.4547,8.4371
"71",100,44.25,100,80,50,17.7,40,74.85,8.51667,8.48333
"72",98.5,33.3333333333333,100,80,50,13.3333333333333,39.4,72.3666666666667,-11.5,8.5
"73",100,60.8333333333333,100,80,50,24.3333333333333,40,78.1666666666667,2.5799999,8.8800001
"74",100,59.0833333333333,100,80,50,23.6333333333333,40,77.8166666666667,1.67,8.9799995
"75",100,59.6666666666667,100,80,50,23.8666666666667,40,77.9333333333333,2.5699999,9.0200005
"76",100,51.3333333333333,100,80,50,20.5333333333333,40,76.2666666666667,6.6333337,9.1000004
"77",100,67.5,100,80,50,27,40,79.5,-1.55,9.1332998
"78",100,68.5,100,80,50,27.4,40,79.7,-2.4833,9.1999998
"79",100,50.5833333333333,100,80,50,20.2333333333333,40,76.1166666666667,5.05,9.28333
"80",100,49.5833333333333,100,80,50,19.8333333333333,40,75.9166666666667,6.2999997,9.3371178
"81",100,49.6666666666667,100,80,50,19.8666666666667,40,75.9333333333333,6.3,9.35
"82",100,55.5,100,80,50,22.2,40,77.1,2.25,9.5
"83",99.9166666666667,49.5,100,80,50,19.8,39.9666666666667,75.8833333333333,1.72,9.6700001
"84",99.9166666666667,41.3333333333333,100,80,50,16.5333333333333,39.9666666666667,74.25,1.67,9.6700001
"85",78.9166666666667,42.0833333333333,100,80,50,13.3293333333333,31.5666666666667,70.2,8.833333333,9.733333333
"86",100,45.8333333333333,100,80,50,18.3333333333333,40,75.1666666666667,2.25,9.75
"87",100,52.75,100,80,50,21.1,40,76.55,2.7,9.8500004
"88",100,54.75,100,80,50,21.9,40,76.95,2.9300001,9.9200001
"89",85.5,34.8333333333333,100,80,50,12.2626666666667,34.2,70.0666666666667,8,10
"90",100,47.6666666666667,100,80,50,19.0666666666667,40,75.5333333333333,3.23,10.15
"91",99.8333333333333,45.5,100,80,50,18.1666666666667,39.9333333333333,75.0666666666667,1.55,10.4833
"92",100,50.5,100,80,50,20.2,40,76.1,1.6666665,10.7499995
"93",100,62.75,100,80,50,25.1,40,78.55,-2.45,11.05
"94",100,59.6666666666667,0,80,50,0,0,57.9333333333333,2.1666667,11.75
